nom;code_postal;latitude;longitude
Courchamps;2810;49.116;3.263
Courmelles;2200;49.343;3.302
Courmont;2130;49.138;3.576
Courtemont-Varennes;2850;49.072;3.542
Courtrizy-et-Fussigny;2820;49.514;3.795
Couvrelles;2220;49.334;3.485
Couvron-et-Aumencourt;2270;49.646;3.524
Coyolles;2600;49.213;3.013
Cramaille;2130;49.229;3.452
Craonne;2160;49.448;3.792
Craonnelle;2160;49.426;3.777
Crécy-au-Mont;2380;49.484;3.312
Crécy-sur-Serre;2270;49.699;3.623
Crépy;2870;49.608;3.512
Crézancy;2650;49.043;3.511
Croix-Fonsomme;2110;49.931;3.394
La Croix-sur-Ourcq;2210;49.16;3.35
Crouttes-sur-Marne;2310;48.979;3.248
Crouy;2880;49.408;3.366
Crupilly;2120;49.931;3.752
Cuffies;2880;49.408;3.322
Cugny;2480;49.703;3.154
Cuirieux;2350;49.683;3.82
Cuiry-Housse;2220;49.29;3.488
Cuiry-lès-Chaudardes;2160;49.39;3.762
Cuiry-lès-Iviers;2360;49.766;4.104
Cuissy-et-Geny;2160;49.404;3.706
Cuisy-en-Almont;2200;49.421;3.249
Cutry;2600;49.344;3.191
Cys-la-Commune;2220;49.384;3.572
Dagny-Lambercy;2140;49.769;4.042
Dallon;2680;49.824;3.23
Dammard;2470;49.147;3.177
Dampleux;2600;49.241;3.144
Danizy;2800;49.667;3.401
Dercy;2270;49.71;3.685
Deuillet;2700;49.629;3.36
Dhuizel;2220;49.36;3.615
Dizy-le-Gros;2340;49.636;4.013
Dohis;2360;49.767;4.142
Dolignon;2360;49.734;4.086
Dommiers;2600;49.329;3.216
Domptin;2310;49.016;3.273
Dorengt;2450;49.965;3.703
Douchy;2590;49.794;3.13
Dravegny;2130;49.239;3.641
Droizy;2210;49.277;3.39
Dury;2480;49.751;3.134
Ébouleau;2350;49.678;3.883
Effry;2500;49.919;3.988
Englancourt;2260;49.926;3.807
Épagny;2290;49.472;3.254
Éparcy;2500;49.886;4.07
Épaux-Bézu;2400;49.103;3.354
Épieds;2400;49.104;3.451
L'Épine-aux-Bois;2540;48.899;3.444
Eppes;2840;49.552;3.74
Erlon;2250;49.735;3.705
Erloy;2260;49.92;3.838
Esquéhéries;2170;49.982;3.753
Essigny-le-Grand;2690;49.774;3.272
Essigny-le-Petit;2100;49.896;3.367
Essises;2570;48.967;3.414
Essômes-sur-Marne;2400;49.034;3.34
Estrées;2420;49.971;3.28
Étampes-sur-Marne;2400;49.032;3.418
Étaves-et-Bocquiaux;2110;49.931;3.451
Étouvelles;2000;49.519;3.582
Étréaupont;2580;49.896;3.924
Étreillers;2590;49.833;3.158
Étrépilly;2400;49.082;3.348
Étreux;2510;50.0;3.659
Évergnicourt;2190;49.456;4.036
Faverolles;2600;49.227;3.178
Fayet;2100;49.871;3.253
La Fère;2800;49.666;3.369
Fère-en-Tardenois;2130;49.188;3.511
La Ferté-Chevresis;2270;49.741;3.551
La Ferté-Milon;2460;49.176;3.142
Fesmy-le-Sart;2450;50.048;3.698
Festieux;2840;49.525;3.76
Fieulaine;2110;49.902;3.446
Filain;2000;49.453;3.557
La Flamengrie;2260;50.0;3.925
Flavigny-le-Grand-et-Beaurain;2120;49.887;3.674
Flavy-le-Martel;2520;49.705;3.194
Fleury;2600;49.265;3.16
Fluquières;2590;49.8;3.157
Folembray;2670;49.549;3.293
Fonsomme;2110;49.901;3.396
Fontaine-lès-Clercs;2680;49.808;3.212
Fontaine-lès-Vervins;2140;49.854;3.905
Fontaine-Notre-Dame;2110;49.879;3.424
Fontaine-Uterte;2110;49.925;3.368
Fontenelle;2170;50.031;3.846
Fontenoy;2290;49.41;3.194
Foreste;2590;49.806;3.096
Fossoy;2650;49.045;3.485
Fourdrain;2870;49.619;3.46
Francilly-Selency;2760;49.855;3.228
Franqueville;2140;49.816;3.798
Fresnes-en-Tardenois;2130;49.143;3.549
Fresnes-sous-Coucy;2380;49.555;3.37
Fresnoy-le-Grand;2230;49.954;3.419
Fressancourt;2800;49.628;3.427
Frières-Faillouël;2700;49.684;3.237
Froidestrées;2260;49.943;3.91
Froidmont-Cohartille;2270;49.682;3.721
Gandelu;2810;49.083;3.182
Gauchy;2430;49.824;3.286
Gercy;2140;49.816;3.871
Gergny;2260;49.933;3.93
Germaine;2590;49.812;3.119
Gibercourt;2440;49.739;3.283
